%Time(s);X-Position (X[2]);Y-Position (X[1]);Input U
2.81000000e+00;1.76947348e-02;-1.74620903e-02;9.42333628e-01
2.82000000e+00;1.75190407e-02;-1.78035155e-02;9.42625731e-01
2.83000000e+00;1.73399329e-02;-1.81464429e-02;9.42916290e-01
2.84000000e+00;1.71573964e-02;-1.84908542e-02;9.43205316e-01
2.85000000e+00;1.69714167e-02;-1.88367309e-02;9.43492819e-01
2.86000000e+00;1.67819790e-02;-1.91840539e-02;9.43778811e-01
2.87000000e+00;1.65890691e-02;-1.95328040e-02;9.44063303e-01
2.88000000e+00;1.63926728e-02;-1.98829616e-02;9.44346305e-01
2.89000000e+00;1.61927761e-02;-2.02345067e-02;9.44627827e-01
2.90000000e+00;1.59893653e-02;-2.05874190e-02;9.44907881e-01
2.91000000e+00;1.57824268e-02;-2.09416780e-02;9.45186476e-01
2.92000000e+00;1.55719473e-02;-2.12972628e-02;9.45463622e-01
2.93000000e+00;1.53579136e-02;-2.16541519e-02;9.45739330e-01
2.94000000e+00;1.51403128e-02;-2.20123240e-02;9.46013610e-01
2.95000000e+00;1.49191321e-02;-2.23717570e-02;9.46286472e-01
2.96000000e+00;1.46943591e-02;-2.27324286e-02;9.46557925e-01
2.97000000e+00;1.44659816e-02;-2.30943163e-02;9.46827980e-01
2.98000000e+00;1.42339874e-02;-2.34573971e-02;9.47096645e-01
2.99000000e+00;1.39983648e-02;-2.38216477e-02;9.47363930e-01
3.00000000e+00;1.37591022e-02;-2.41870444e-02;9.47629846e-01
3.01000000e+00;1.35161882e-02;-2.45535633e-02;9.47894400e-01
3.02000000e+00;1.32696118e-02;-2.49211801e-02;9.48157603e-01
3.03000000e+00;1.30193621e-02;-2.52898701e-02;9.48419463e-01
3.04000000e+00;1.27654284e-02;-2.56596082e-02;9.48679990e-01
3.05000000e+00;1.25078005e-02;-2.60303691e-02;9.48939193e-01
3.06000000e+00;1.22464683e-02;-2.64021272e-02;9.49197080e-01
3.07000000e+00;1.19814218e-02;-2.67748562e-02;9.49453660e-01
3.08000000e+00;1.17126516e-02;-2.71485298e-02;9.49708942e-01
3.09000000e+00;1.14401482e-02;-2.75231213e-02;9.49962934e-01
3.10000000e+00;1.11639027e-02;-2.78986034e-02;9.50215646e-01
3.11000000e+00;1.08839063e-02;-2.82749488e-02;9.50467086e-01
3.12000000e+00;1.06001505e-02;-2.86521296e-02;9.50717261e-01
3.13000000e+00;1.03126270e-02;-2.90301175e-02;9.50966181e-01
3.14000000e+00;1.00213279e-02;-2.94088840e-02;9.51213853e-01
3.15000000e+00;9.72624564e-03;-2.97884003e-02;9.51460286e-01
3.16000000e+00;9.42737275e-03;-3.01686371e-02;9.51705487e-01
3.17000000e+00;9.12470221e-03;-3.05495646e-02;9.51949466e-01
3.18000000e+00;8.81822724e-03;-3.09311530e-02;9.52192229e-01
3.19000000e+00;8.50794137e-03;-3.13133718e-02;9.52433784e-01
3.20000000e+00;8.19383845e-03;-3.16961903e-02;9.52674140e-01
3.21000000e+00;7.87591261e-03;-3.20795776e-02;9.52913304e-01
3.22000000e+00;7.55415831e-03;-3.24635020e-02;9.53151284e-01
3.23000000e+00;7.22857033e-03;-3.28479319e-02;9.53388086e-01
3.24000000e+00;6.89914374e-03;-3.32328349e-02;9.53623720e-01
3.25000000e+00;6.56587397e-03;-3.36181786e-02;9.53858191e-01
3.26000000e+00;6.22875675e-03;-3.40039301e-02;9.54091508e-01
3.27000000e+00;5.88778816e-03;-3.43900561e-02;9.54323678e-01
3.28000000e+00;5.54296459e-03;-3.47765228e-02;9.54554707e-01
3.29000000e+00;5.19428279e-03;-3.51632964e-02;9.54784604e-01
